,id,title,url,is_paid,price,is_practice_test_course,headline,language
65,4449458,2023 Güncel: Kendi Kendinize Yabancı Dil Öğrenin!,/course/kendikendineyabancidilogren/,False,Free,False,Sistematik tekrar programı Anki'yle kalıcı olarak dil öğrenmeyi öğrenin!!,Turkish
66,2346400,Temel Dijital Pazarlama Eğitimi / Dijital Medya Kursu,/course/temel-dijital-pazarlama-egitimi-dijital-medya-kursu/,False,Free,False,Online Pazarlamanın genel hatlarını göreceksiniz. İnternet Girişimciliği ve Dijital Pazarlama Uzmanlığına adım atacaksın,Turkish
67,3050180,Python ile Veri Çekme - BeautifulSoup - Selenium - Scrapy,/course/python-ile-veri-cekme-beautifulsoup-requests-selenium-scrapy/,False,Free,False,Python Programlama Dili Kullanarak Veri Çekme - Otomasyon - Web Scraping - Web Crawling - Requests Temellerini Öğrenin,Turkish
68,4633944,3ds Max ve Lumion ile Animasyon | Ücretsiz,/course/lumionda-tantm-filmi-hazrlamak-ucretsiz/,False,Free,False,Lumion'da Animasyon Uygulaması,Turkish
69,3233511,5 Derste Photoshop | Temel Seviye,/course/mesutsteel/,False,Free,False,"Temel photoshop araçlarına ""en kısa sürede"" hakim olabileceğiniz kursumuzla karşınızdayız.",Turkish
70,3982298,İklim Değişikliği 101,/course/iklim-degisikligi/,False,Free,False,"Küresel iklim değişikliği, su tasarrufu ve çevre sorunlarında farkındalık yaratabilir, doğanın kurtarıcısı olabiliriz.",Turkish
71,2587342,Temel Düzeyden Orta Düzeye Illustrator Dersleri,/course/photoshop_dersleri/,False,Free,False,Illustrator CC Araçlarını Öğrenelim,Turkish
72,3993064,Borsada Teknik Analizin Önemi / Bölüm-2,/course/borsada-teknik-analizin-onemi-bolum-2/,False,Free,False,Borsada Teknik Analiz nedir? Nasıl inceleme yapılır?,Turkish
73,5077826,16 Eserimin Anlatımlı Yapım Aşamaları,/course/16-eserim-1-bolum/,False,Free,False,"Eserlerimi Nasıl Yapıyorum, Diorama, Minyatür, Maket Ve El Yapımı Hobi Ürünleri Yapım Teknikleri",Turkish
74,4290508,Etkili LinkedIn Kullanımı ve Etkileşim Artırma,/course/linkedinkursu/,False,Free,False,LinkedIn Hakkında Çoğu Şeyi Öğren ve DAİMA FARK EDİLECEKSİN !!,Turkish
75,2546901,Microsoft Word Kursu,/course/microsoft-word-kursu/,False,Free,False,"Microsoft Word Öğren, Profesyonel İş Yazışmaları Yap!",Turkish
76,3656374,Teknik Analize Giriş,/course/teknik-analizde-neymis/,False,Free,False,( 2 saatten sonrası ücretliye girdiği için 1 saat 59 dk eğitimi çekebildim ) Başlangıç seviyesine uygundur.,Turkish
77,3659648,Microsoft Excel - Temel & İleri Seviye | Ücretsiz Eğitim,/course/excelegitimi/,False,Free,False,Excel Eğitimi setimiz ile sizde ileri düzey online excel kursu deneyimini yaşayabileceksiniz. Hemen ücretsiz deneyin!,Turkish
78,4893212,2 Saatte Teknik Analiz,/course/2-saatte-teknik-analiz/,False,Free,False,Price action'ın temel mantığını öğreneceksin.,Turkish
79,3782852,"Video Düzenleme, Kurgu, Montaj Eğitimi (Ücretsiz Yazılım)",/course/video-duzenleme-kurgu-montaj-egitimi-ucretsiz-yazilim/,False,Free,False,Tüm işletim sistemlerinde kullanabileceğiniz ve ücretsiz olan Shotcut Video Düzenleme yazılımını öğreneceksiniz.,Turkish
80,2655374,Etkileyici Sunum Hazırlama İpuçları,/course/etkileyici-sunum-hazirlama-ipuclari/,False,Free,False,"Sürekli yenilenen içeriğiyle, etkileyici sunum hazırlamanın ipuçları",Turkish
81,3742574,Kitap tavsiyeleri,/course/kitaptavsiyeleri/,False,Free,False,Mutlaka okumanız gereken 100 kitap!,Turkish
82,3288424,Microsoft Excel - Başlangıç Seviyesi Dersleri,/course/microsoft-excel-baslangc-duzeyi-10-ders/,False,Free,False,"Veri Girşi,Tablolar,Formüller,Pivot Tablolar,Yazdırma,Hücre Biçimlendirme,Grafikler,Hesaplama ve Filtreleme",Turkish
83,250948,Java ile Programlamaya Giriş 1,/course/java-ile-programlamaya-giris-1/,False,Free,False,Programlamanın Temelleri,Turkish
84,5533198,Erk Hayvanı Bulma ve Tanıma Eğitimi,/course/erk-hayvan-bulma-ve-tanma-egitimi/,False,Free,False,Erk Hayvanınızı Keşfetmeye Hazır Mısınız?,Turkish
85,2455512,HTML5 ve CSS3,/course/html5-css3-html5-css3-html5-css3-html5-css3-html5-css3-html5-css3-html/,False,Free,False,HTML5 | CSS3  teknolojilerini ücretsiz olarak öğrenebilirsiniz.,Turkish
86,4584418,12 VİDEODA İNGİLİZCE GRAMERİ (3 Adımda Sıfırdan İngilizce),/course/12-videoda-ingilizce-grameri/,False,Free,False,İngilizce Gramer Okullarda Neden 10 Yılda Bile Öğrenilemiyor? Siz Kısa Zamanda Nasıl Tamamen Öğrenirsiniz?,Turkish
87,5517986,İleri Seviye MATLAB Programcısı Olun(DEVAM EDİYOR),/course/ileri-seviye-matlab-programcs-olundevam-ediyor/,False,Free,False,Temel Seviyede Başlayarak İleri Seviye MATLAB Programcısı Olun!,Turkish
