id,title,url,is_paid,price,is_practice_test_course,headline,language,name_from_site,rating,category,what_u_learn,description
3550828,Ethical hacking with Hak5 devices,/course/ethical-hacking-with-hak5-devices/,False,Free,False,"Learn about the USB Rubber Ducky, the O.MG cable and more",English,Ethical hacking with Hak5 devices,4.7,"IT & Software,Network & Security,Ethical Hacking","Why physical security is so important
Why you should never plug in unknown devices into your computer
Hak5 Rubber Ducky
Hak5 O. MG cable
Hak5 Bashbunny",
4157784,Digital Marketing Essentials Masterclass,/course/digital-marketing-101-complete-digital-marketing-course/,False,Free,False,"Learn the basics of Social Media Marketing, SEO, SEM, Facebook Marketing & more.",English,Digital Marketing Essentials Masterclass,4.4,"Marketing,Digital Marketing,Digital Marketing","What is Digital Marketing and why it’s important for 2021
Various components of Digital Marketing and their scope
Fundamentals of SEM or Paid Advertising on Google
Fundamentals of Search Engine Optimization (SEO)
Promoting websites by increasing their visibility in search engine results pages,
What keywords are, why they play a major role in PPC advertising, and how to use them,
Tools for keyword research and planning,
SEO essentials along with tools to find what your target audience is looking for online
Basics of Social Media Marketing through Facebook and Instagram Ads
Step by step approach to running Facebook or Instagram Ads
The purpose and significance of Remarketing
Other components of Digital Marketing like Email, SMS, Influencer and ORM Marketing",
5452282,Data Science for Beginners: Your Step-by-Step Guide To Start,/course/data-science-course-for-beginners/,False,Free,False,Mastering Excel & MySQL with Board Infinity: For Aspiring Data Scientists: Diving Deep into Spreadsheets & Databases,English,Data Science for Beginners: Your Step-by-Step Guide To Start,4.1,"Development,Data Science,Data Science","Acquire a comprehensive understanding of the data science landscape, including key roles, industries, and opportunities for career advancement.
Master the core functionalities of Excel for business analytics, from basic worksheet operations to advanced formatting techniques.
Set up and navigate MySQL proficiently, laying the groundwork for effective database management and SQL operations.
Delve deep into SQL fundamentals, mastering data types and essential commands to ensure efficient database creation and management.",
2862896,Best Practices for Working Remotely,/course/quick-guide-to-working-remotely-from-vp-of-learning/,False,Free,False,"Join Shelley Osborne, VP of Learning, for her best tips to set yourself up for success when working from home.",English,Best Practices for Working Remotely,4.5,"Personal Development,Personal Productivity,Working Remotely","Use frequent communication to stay connected and social with your colleagues.
Employ the right tools to make sure you stay accountable and productive from home.
Structure your workday to maximize your time.
Create a workspace conducive to distraction-free working.",
1895894,Ethical Hacking - SQL Injection Attack,/course/sql-injection-ethical-hacking/,False,Free,False,Learn Website hacking using SQL Injection Attack - Database Penetration testing,English,Ethical Hacking - SQL Injection Attack,4.6,"IT & Software,Network & Security,Ethical Hacking","Students will be able to learn basics of sql injection attacks
Students will be able to use kali linux database Penetration testing tools
Students will be able to perform sql injection attacks .",
1164120,Powerful Self Healing in 5 Simple Steps - Self Help Course,/course/self-help-course/,False,Free,False,Easy self help steps & actions everyone can overlay on their existing routine to achieve better health & happiness,English,Powerful Self Healing in 5 Simple Steps - Self Help Course,4.6,"Lifestyle,Esoteric Practices,Spiritual Healing","Realise that improving their life is easier, simpler and quicker than they ever thought possible
Understand the simple actions required to balance and harmonise their mind and body
Remember that they have the power to improve their overall health and happiness
Rest their minds (micro-meditate) in almost any situation
See their own worth and beauty
Recognise who they truly are
Love themselves.",
4739416,Mathematics: Fun tricks for everybody,/course/fun-tricks/,False,Free,False,Mathematics from high school to university,English,Mathematics: Fun tricks for everybody,4.9,"Teaching & Academics,Math,Problem Solving","Creative problem solving, with fun tricks and geometrical illustrations of the results.
How to derive the formula for the sum of squares of all natural numbers from 1 to n.
How to derive the formulas for partial sums for two very important examples of arithmetic progressions: 1+2+...+n and 1+3+5+...+(2n-1).
How to derive the general formula for partial sums of geometric progressions; an important example of the sum of all the natural powers (from 1 to n) of 1/2.
How to derive some less known formulas, using cool computational tricks.
How to prove divisibility in some simple cases, using very basic (but fun) reasoning.
You will learn (from an article) how to convert infinite periodic decimal expansions into fractions, by smart substitutions and solving linear equations.
You will learn (from an article) some basics about continued fractions (CF), and how to recognise irrational surds from their infinite periodic CF-expansions.
You will learn (from an article) about an interesting family of nested square roots and how to prove that some members of this family are... integers!",
1675864,Intro to Linux Shell Scripting (Free course),/course/linux-shell-scripting-free/,False,Free,False,Get up to speed with Linux shell scripting quickly,English,Intro to Linux Shell Scripting (Free course),4.6,"Development,Programming Languages,Shell Scripting",After you complete this course you will understand the basics of writing a shell script.,
311538,Foundations of Front-End Web Development,/course/foundations-of-front-end-development/,False,Free,False,Learn the skills to quickly start a career in Front-End Development today!,English,Foundations of Front-End Web Development,4.5,"Development,Web Development,Front End Web Development","By the end of the course, you'll have all the tools and practical knowledge necessary to build visually rich Single page Web applications, try your luck with job interviews and kickstart your career as a Front End Developer!
After completion you'll have touched upon the comprehensive curriculum of a Junior Front End Developer. Try your luck, applying for jobs, getting feedbacks and improving on the solid foundations built during this course!
With the solid foundations acquired in this course, it will be much way easier to approach web articles and resources on Front End Development, armed with the necessary background and lingo to make the most out of them, learn effectively and quickly.
With the basics knowledge out of the way, the world is your oyster! Expand on the foundational knowledge acquired and specialize in further niches (AngularJs, EmberJs, Gaming, Full Stack Development).",
2222664,Learn Java Programming,/course/learn-java-programming-a/,False,Free,False,Java for Testers and Developers,English,Learn Java Programming,4.6,"IT & Software,Other IT & Software,Java","You will learn how to write a complete Java program that takes user input, processes and outputs the results
You will learn OOPS concepts in Java
You will able to use Java for Selenium in testing and development",
